ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS);GOLD PPBS
lærer;1837;1394;0.184;0.102;-0.082;-0.378
modell;1343;111;0.05;0.031;-0.019;-0.368
sykepleier;1335;0;0.035;0;-0.035;-0.792
lege;471;263;0.038;0.034;-0.004;-0.086
elektriker;13;659;0.023;0.034;0.011;0.948
politi;58;596;0.036;0.041;0.005;0.252
bibliotekar;419;0;0.026;0;-0.026;-0.584
kokk;32;366;0.022;0.026;0.004;0.184
arkitekt;180;38;0.028;0.026;-0.002;-0.008
slakter;4;186;0.027;0.029;0.002;0.62
jordmor;182;0;0.025;0;-0.025;-0.998
ingeniør;2;173;0.019;0.026;0.007;0.584
journalist;104;55;0.025;0.023;-0.002;0.072
bussjåfør;0;138;0;0.026;0.026;0.856
fotograf;119;7;0.024;0.017;-0.007;0.332
advokat;59;50;0.027;0.026;-0.001;0.02
tannlege;88;16;0.029;0.028;-0.001;-0.22
frisør;40;0;0.026;0;-0.026;-0.776
vekter;1;37;0.023;0.03;0.007;0.524
gartner;10;12;0.027;0.021;-0.006;0.052
dykker;0;13;0;0.026;0.026;0.952
eiendomsmegler;0;13;0;0.021;0.021;0.33
arkeolog;1;10;0.023;0.022;-0.001;-0.412
fysioterapeut;8;0;0.02;0;-0.02;-0.526
hjemmehjelp;6;0;0.026;0;-0.026;-0.78
skuespiller;3;0;0.019;0;-0.019;0.002
rørlegger;0;3;0;0.022;0.022;0.972
regnskapsfører;0;3;0;0.015;0.015;-0.474
smed;0;2;0;0.024;0.024;0.53
prest;0;1;0;0.013;0.013;0.33
