RUN;RUNTIME
xlmRBase_i100_r0;0:14:25
xlmRBase_i100_r1;0:15:09
xlmRBase_i100_r2;0:21:06
xlmRBase_i200_r0;0:50:33
xlmRBase_i200_r1;1:04:49
xlmRBase_i300_r0;2:41:32
xlmRLarge_i100_r0;0:17:16
xlmRLarge_i100_r1;0:18:33
xlmRLarge_i100_r2;0:20:53
xlmRLarge_i200_r0;1:08:34
xlmRLarge_i200_r1;0:50:04
xlmRLarge_i300_r0;2:29:07
mBertUncased_i100_r0;0:25:24
mBertUncased_i100_r1;0:24:39
mBertUncased_i100_r2;0:25:46
mBertUncased_i200_r0;1:25:05
mBertUncased_i200_r1;1:17:10
mBertUncased_i300_r0;3:02:39
mBertCased_i100_r0;0:11:23
mBertCased_i100_r1;0:08:19
mBertCased_i100_r2;0:09:37
mBertCased_i200_r0;0:43:19
mBertCased_i200_r1;0:41:57
mBertCased_i300_r0;1:44:44
nbBertBase_i100_r0;0:11:14
nbBertBase_i100_r1;0:09:59
nbBertBase_i100_r2;0:10:42
nbBertBase_i200_r0;0:44:35
nbBertBase_i200_r1;0:40:38
nbBertBase_i300_r0;2:03:15
nbBertLarge_i100_r0;0:17:20
nbBertLarge_i100_r1;0:14:45
nbBertLarge_i100_r2;0:14:22
nbBertLarge_i200_r0;1:12:49
nbBertLarge_i200_r1;1:30:01
nbBertLarge_i300_r0;3:26:15
norbert_i100_r0;0:15:04
norbert_i100_r1;0:14:35
norbert_i100_r2;0:12:57
norbert_i200_r0;0:55:08
norbert_i200_r1;0:58:47
norbert_i300_r0;2:22:35
norbert2_i100_r0;0:13:36
norbert2_i100_r1;0:10:42
norbert2_i100_r2;0:10:56
norbert2_i200_r0;0:51:07
norbert2_i200_r1;0:54:57
norbert2_i300_r0;2:01:43
