ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;4.624
2;118;1;2.019
3;90;1;0.942
4;87;1;1.106
5;96;1;1.585
6;110;1;2.420
7;89;1;2.409
8;87;1;1.415
9;88;2;2.761
10;95;2;2.794
11;109;4;5.338
12;127;2;3.795
13;134;1;3.262
14;140;1;3.342
15;155;1;2.986
16;163;1;4.590
17;141;2;3.427
18;142;1;3.323
19;148;1;4.028
20;149;1;4.986
21;163;3;6.270
22;178;1;4.330
23;175;3;5.369
24;181;1;5.047
25;183;1;5.115
26;184;2;5.614
27;172;2;6.228
28;194;6;10.569
29;195;1;5.375
30;219;7;12.820
31;217;1;4.473
32;226;1;6.621
33;214;13;18.793
34;211;1;4.634
35;210;2;5.334
36;190;3;6.359
37;172;1;3.872
38;179;1;6.345
39;180;5;11.442
40;178;1;3.945
41;157;1;3.461
42;156;2;4.227
43;147;3;8.848
44;161;6;10.736
45;162;2;6.966
46;163;3;8.708
47;163;1;6.859
48;164;2;8.767
49;164;1;7.406
50;146;1;3.488
51;153;1;8.142
52;148;2;4.528
53;150;1;7.220
54;149;1;3.413
55;156;3;9.325
56;153;1;7.742
57;156;1;6.816
58;153;1;3.458
59;152;1;3.212
60;160;1;7.004
61;169;1;8.229
62;170;4;11.543
63;169;2;4.600
64;169;1;7.204
65;166;3;5.508
66;167;1;8.285
67;166;1;3.843
68;165;3;5.588
69;162;1;3.298
70;172;2;8.491
71;173;1;8.742
72;182;3;9.963
73;180;1;9.999
74;181;1;7.741
75;172;3;10.042
76;171;1;8.042
77;171;2;9.696
78;177;2;8.899
79;176;4;5.967
80;177;3;9.637
81;184;1;7.575
82;191;13;21.079
83;197;4;11.855
84;199;5;13.291
85;200;1;8.864
86;209;1;9.463
87;200;2;12.544
88;210;2;10.922
89;207;2;5.425
90;213;5;14.228
91;233;1;10.808
92;220;4;13.889
93;235;2;11.569
94;232;6;9.709
95;233;6;17.122
96;249;2;13.477
97;258;2;13.651
98;243;2;13.878
99;236;1;12.531
100;237;4;15.623
